,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change
45,297,20,79,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.83,9.9,27.1,63.1,6.78,90.25,,0.0,30.0,15.0,,,,,,83.11,-7.140000000000001,8.591023944170377
46,312,23,84,France,Grignon,Temperate,,Luvisol,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,3,4,11.5,557.0,48.85,1.966,20.0,2011.0,15.0,30.0,22.5,1.3366666666666667,,,,8.266666666666666,40.833333333333336,4.966666666666667,15.0,30.0,22.5,1.3699999999999999,,,,8.066666666666666,35.43333333333333,-5.400000000000006,15.239887111947336
47,324,24,88,USA,Nebraska,Boreal,,,TEMP,Switchgrass,grass,bioenergy,NO,,3,9,5.0,79.0,41.151,96.401,,2007.0,0.0,30.0,15.0,,,,,,163.7,,0.0,30.0,15.0,,,,,,49.4,-114.29999999999998,231.37651821862346
48,327,25,89,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,grassland,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,0.96,2.5,12.5,7.5,1.2650000000000001,28.5,29.5,42.0,7.8,10.600000000000001,0.5500000000000007,-5.188679245283025
49,329,25,90,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,annual_crop,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,0.96,2.5,12.5,7.5,0.99,28.5,29.5,42.0,7.75,9.45,-0.6000000000000014,6.349206349206364
50,331,25,91,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,grassland,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,0.17,2.5,12.5,7.5,1.2650000000000001,28.5,29.5,42.0,7.8,10.600000000000001,3.9000000000000012,-36.79245283018869
51,333,25,92,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,annual_crop,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,0.17,2.5,12.5,7.5,0.99,28.5,29.5,42.0,7.75,9.45,2.749999999999999,-29.100529100529094
52,344,26,93,Germany,Rheinbach,Temperate,,,TEMP,Poplar,woody,SRC,NO,,1,9,9.5,605.0,50.593,6.9861,,2014.0,0.0,20.0,10.0,1.64,23.0,63.0,14.0,,35.03,1.54,0.0,20.0,1.0,1.585,23.0,63.0,14.0,,34.45,-0.5799999999999983,1.683599419448471
53,346,26,94,Germany,Rheinbach,Temperate,,,TEMP,Willow,woody,SRC,NO,,1,9,9.5,605.0,50.593,6.9861,,2014.0,0.0,20.0,10.0,1.64,23.0,63.0,14.0,,35.6,0.58,0.0,20.0,1.0,1.585,23.0,63.0,14.0,,34.224999999999994,-1.375000000000007,4.017531044558093
54,348,26,95,Germany,Rheinbach,Temperate,,,TEMP,Alder,woody,SRC,NO,,1,9,9.5,605.0,50.593,6.9861,,2014.0,0.0,20.0,10.0,1.64,23.0,63.0,14.0,,35.87,2.0,0.0,20.0,1.0,1.585,23.0,63.0,14.0,,34.92,-0.9499999999999957,2.7205040091637906
55,350,27,96,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,1.0,2007.0,10.0,30.0,20.0,1.45,,,,,63.5,17.5,10.0,30.0,20.0,1.5899999999999999,,,,,56.0,-7.5,13.392857142857142
